    CK07T050  2008 05 23.9077  4.066907  0.913189   34.5729  109.7949   45.5582  20171014   8.0  4.0  C/2007 T5 (Gibbs)                                        MPC 65935
    CK07U010  2008 08  9.6917  3.317280  1.000703    1.3098   50.4587  157.7328  20171014   9.0  4.0  C/2007 U1 (LINEAR)                                       MPC 66921
    PK07V010  2019 01 12.2000  2.676067  0.462166   51.6563    7.9347   10.7600  20171014  12.0  4.0  P/2007 V1 (Larson)                                       MPC 75708
    PK07V11Q  2020 09 18.5331  2.692495  0.502748  277.8164  163.8171   12.3260  20171014  12.0  4.0  P/2007 VQ11 (Catalina)                                   MPC 75708
    CK07V53O  2010 04 24.6149  4.854601  1.000731   75.1472   59.7009   86.8680  20171014   7.0  4.0  C/2007 VO53 (Spacewatch)                                 MPC 81468
    CK07W010  2008 06 24.7281  0.835790  0.999280  306.2044  334.6294    9.8918  20171014   9.5  4.0  C/2007 W1 (Boattini)                                     MPC 63599
    CK07W030  2008 06  3.7589  1.766685  0.999528  112.5308   72.7481   78.6257  20171014  12.0  4.0  C/2007 W3 (LINEAR)                                       MPC 63376
    CK07Y010  2008 03 19.1251  3.362176  0.999797  357.2841  133.0712  110.1349  20171014  10.5  4.0  C/2007 Y1 (LINEAR)                                       MPC 62271
    CK07Y020  2008 04 11.8325  4.199923  0.995827  257.7102  303.4114   98.4605  20171014   9.0  4.0  C/2007 Y2 (McNaught)                                     MPC 62271
    CK08A010  2008 09 27.9826  1.063596  0.999632  348.2857  277.7470   82.7970  20171014   6.5  4.0  C/2008 A1 (McNaught)                                     MPC 65935
    CK08C010  2008 04 17.4353  1.272494  0.999858  181.0561  307.7499   61.7446  20171014  10.0  4.0  C/2008 C1 (Chen-Gao)                                     MPC 62582
    PK08C94L  2021 09 30.5297  5.410711  0.120452   81.2993   33.3515    8.3546  20171014   8.0  4.0  P/2008 CL94 (Lemmon)                                     MPC 75708
    CK08E010  2008 08  9.3169  4.872986  0.549441  270.7597  188.8127   34.8194  20171014   7.0  4.0  C/2008 E1 (Catalina)                                     MPC 64113
    CK08E030  2008 07 28.9130  5.528655  0.995238  217.9936  105.6808  105.1811  20171014   6.0  4.0  C/2008 E3 (Garradd)                                      MPC 68392
    CK08F75K  2010 09 30.2581  4.501178  1.000541   80.3564  218.2840   61.3053  20171014   5.0  4.0  C/2008 FK75 (Lemmon-Siding Spring)                       MPC 88324
    CK08G010  2009 01 12.6308  3.984495  0.985947   63.6642  215.9263   73.0816  20171014   9.5  4.0  C/2008 G1 (Gibbs)                                        MPC 82314
    CK08H010  2008 03 14.1499  2.767145  0.945455   96.0925   34.4127   75.3638  20171014  10.5  4.0  C/2008 H1 (LINEAR)                                       MPC 63137
    CK08J010  2008 07  9.6984  1.728654  0.988955   68.0600  273.5937   61.9174  20171014  10.0  4.0  C/2008 J1 (Boattini)                                     MPC 65054
    CK08J050  2008 04  1.6130  1.942625  0.971477  313.0409  286.9424   93.3304  20171014  12.0  4.0  C/2008 J5 (Garradd)                                      MPC 63376
    CK08J060  2008 04  9.2398  1.990721  1.000770   10.5245  298.1815   45.0697  20171014  10.5  4.0  C/2008 J6 (Hill)                                         MPC 82314
    PK08L020  2023 05 15.1739  2.337276  0.611944  141.2994  218.0065   25.8386  20171014  12.5  4.0  P/2008 L2 (Hill)                                         MPC 75709
    CK08N010  2009 09 21.7362  2.796910  0.996701  100.8028  357.3781  115.4095  20171014   9.0  4.0  C/2008 N1 (Holmes)                                       MPC 68902
    PK08O020  2018 10 20.1731  3.815146  0.151324   26.9789  325.8446    9.5131  20171014   9.0  4.0  P/2008 O2 (McNaught)                                     MPC 75709
    PK08O030  2008 05 24.1426  2.524606  0.693395  341.1597   47.6400   32.1862  20171014  13.0  4.0  P/2008 O3 (Boattini)                                     MPC 64114
    CK08P010  2009 07 20.0081  3.889850  0.998774   11.7222  357.7882   64.2689  20171014   7.0  4.0  C/2008 P1 (Garradd)                                      MPC103843
    CK08Q010  2008 12 25.8698  2.968188  0.994562  104.3772    9.1460  118.5164  20171014  10.0  4.0  C/2008 Q1 (Maticic)                                      MPC 65935
    CK08Q030  2009 06 19.5101  1.810387  0.998692  340.6692  219.4808  140.8175  20171014  10.0  4.0  C/2008 Q3 (Garradd)                                      MPC 80896
    PK08Q20P  2015 05 16.8122  1.749502  0.502922   74.1789  323.9563    7.5902  20171014  15.5  4.0  P/2008 QP20 (LINEAR-Hill)                                MPC 75709
    CK08R030  2008 11 17.8790  1.916222  0.895104   84.0699  270.7526   43.2851  20171014  13.0  4.0  C/2008 R3 (LINEAR)                                       MPC 64115
    CK08S030  2011 06  8.1532  8.004307  1.002320   40.0759   55.0742  162.6935  20171014   4.0  4.0  C/2008 S3 (Boattini)                                     MPC 95207
    CK08T020  2009 06 15.3743  1.202631  1.000207  215.9195  309.6305   56.2281  20171014   6.0  4.0  C/2008 T2 (Cardinal)                                     MPC 66921
    PK08W96Z  2015 03 27.5821  1.698662  0.502312  341.4698   57.1077    7.1867  20171014  13.5  4.0  P/2008 WZ96 (LINEAR)                                     MPC 66204
    CK08X030  2008 10  8.6500  1.920234  0.956028  140.9963  337.6054   66.4703  20171014  13.0  4.0  C/2008 X3 (LINEAR)                                       MPC 65057
    PK08Y010  2019 09 10.7346  1.268633  0.735859  162.8026  259.3348    8.9183  20171014  15.0  4.0  P/2008 Y1 (Boattini)                                     MPC 65935
    PK08Y030  2009 01 11.5075  4.440961  0.447442  238.4187  262.8069   38.7766  20171014   8.5  4.0  P/2008 Y3 (McNaught)                                     MPC 75710
    PK08Y120  2019 10  9.9053  0.067735  0.977986  144.3136  309.8602   23.5725  20171014   9.0  4.0  P/2008 Y12 (SOHO)                                        MPC 88693
    PK09B010  2009 01 27.5702  2.457343  0.634754  129.1271  297.0745   22.2253  20171014  13.0  4.0  P/2009 B1 (Boattini)                                     MPC 75710
    CK09B020  2009 03  4.8207  2.349573  0.942282  192.5346   18.7125  156.9521  20171014  12.5  4.0  C/2009 B2 (LINEAR)                                       MPC 82315
    CK09E010  2009 04  9.6514  0.591165  0.985305   48.7271  105.7855  127.2583  20171014  11.5  4.0  C/2009 E1 (Itagaki)                                      MPC 72850
    CK09F010  2009 06 26.3561  1.846632  0.980928  219.8243  357.9584  171.4006  20171014  15.0  4.0  C/2009 F1 (Larson)                                       MPC 82315
    CK09F020  2009 11 13.9902  5.887154  0.983664  336.4746  213.9051   59.3352  20171014   6.0  4.0  C/2009 F2 (McNaught)                                     MPC 80256
    CK09F040  2012 01  1.3673  5.451669  0.999632  260.3757   53.5588   79.4543  20171014   3.0  4.0  C/2009 F4 (McNaught)                                     MPC 95208
    CK09F050  2008 11  3.2147  2.248365  0.971399  297.3380  218.7700   84.9391  20171014  10.0  4.0  C/2009 F5 (McNaught)                                     MPC 66204
    CK09F060  2009 05  5.4675  1.288951  0.997424  129.9594  278.9289   85.6746  20171014   6.0  4.0  C/2009 F6 (Yi-SWAN)                                      MPC 72850
    CK09G010  2009 04 14.0767  1.121749  0.997117  175.2728  120.6187  108.4331  20171014   9.0  4.0  C/2009 G1 (STEREO)                                       MPC 66466
    CK09K020  2010 02  8.3921  3.223788  0.996182  147.4829  123.7016   66.8397  20171014  10.0  4.0  C/2009 K2 (Catalina)                                     MPC 82315
    CK09K040  2009 06 20.2143  1.553698  0.963291  127.7666   29.7771   34.8392  20171014  13.0  4.0  C/2009 K4 (Gibbs)                                        MPC 66703
    CK09K050  2010 04 28.4521  1.427580  0.999281   66.2144  258.0620  104.2195  20171014   7.5  4.0  C/2009 K5 (McNaught)                                     MPC 82315
    CK09O020  2010 03 23.7315  0.707223  0.997275  133.6574  310.3628  107.8720  20171014  11.0  4.0  C/2009 O2 (Catalina)                                     MPC 69905
    PK09O030  2009 05 11.3779  2.449718  0.685219  154.3058  183.8178   16.2118  20171014  12.5  4.0  P/2009 O3 (Hill)                                         MPC 75710
    CK09O040  2009 12 28.6747  2.565612  0.999944  223.7022  172.9943   95.6944  20171014  10.0  4.0  C/2009 O4 (Hill)                                         MPC 67147
